Longitude	Latitude	Name
-76.618082	39.326188	The Baltimore Museum of Art
-76.636162	39.317051	The Maryland Zoo In Baltimore
-76.596992	39.311989	The National Great Blacks In Wax Museum
-76.615834	39.296424	The Walters Art Museum
-76.547269	39.28115	Toby's Dinner Theatre of Baltimore
-76.609234	39.286613	Top of the World Observation Level ( World Trade Center)
-116.1997	43.61711	Idaho State Capitol Building
-116.10443	43.76505	Bogus Basin Ski Resort
-116.16205	43.60293	Old Pententiary
-116.16176	43.60092	Idaho Botanical Garden
-116.14673	43.59455	Table Rock
-116.20869	43.60987	Anne Frank Memorial
-116.20665	43.60977	Boise Art Museum
-116.20564	43.61047	Idaho Historical Museum
-116.20418	43.61466	Qwest Arena
-116.19585	43.60284	Boise State Univ. Bronco Stadium
-116.1984	43.60326	Taco Bell Arena
-116.27906	43.65599	Hawk's Memorial Stadium
-116.27517	43.65125	Expo Idaho Fair Grounds
-116.25599	43.5172	World Center for Birds of Prey
-116.20336	43.60819	Zoo Boise
-116.19891	43.60833	Discovery Center of Idaho
-71.0592	42.3609	City Hall - Government Center
-71.0545	42.3607	Quincy Market
-71.05581	42.36002	Fanueil Hall
-71.05356	42.36547	North End
-71.0654	42.35625	Boston Common & Frog Pond
-71.0702	42.35436	Public Garden
-71.07735	42.35063	Boston Public Library
-71.05072	42.35291	Boston Tea Party
-71.0545	42.3665	Old North Church
-71.08221	42.35054	The Pru - Top of the Hub
-71.1198	42.374	Harvard Coop
-71.0909	42.3543	Harvard Bridge
-71.0756	42.3615	Longfellow Bridge
-71.0751	42.3493	John Hancock Tower
-71.05557	42.35283	South Station
-71.06043	42.35274	Chinatown
-71.057	42.3726	Old Ironsides  USS Constitution
-71.05865	42.37258	Charlestown Navy Yard
-71.0739	42.3573	The Hatch Shell - Esplanade
-71.09908	42.34663	Fenway Stadium - Green Monster
-71.0698	42.3557	Make Way For Ducklings
-71.0634	42.3576	Glory (Col. Robert Shaw) statue
-70.67	42.6101	Gloucester Fisherman statue
-71.0873	42.3443	Symphony Hall
-71.35612	42.46771	Minute Man National Park
-71.1278	42.2987	Arnold Arboretum
-71.1203	42.3168	Jamaica Pond
-71.07025	42.35616	Cheers (Bull & Finch Pub)
-71.08446	42.3451	Christian Science Plaza
-71.0992	42.3384	Isabella Stewart Gardner Museum
-71.0939	42.3398	Museum of Fine Arts   MFA
-71.3398	42.439	Walden Pond
-71.0512	42.3609	Christopher Columbus Park
-71.31401	42.64507	Lowell National Historical Park
-70.92459	41.63641	New Bedford Whaling Museum
-73.30374	42.35514	Tanglewood
-71.0614	42.3576	Granary Burial Ground
-71.0606	42.3762	Bunker Hill Monument
-71.0606	42.3812	Bunker Hill
-71.16106	41.70784	Battleship Cove
-70.94512	42.62852	Topsfield Fairground
-71.0334	42.3137	JFK Library
-71.0662	42.3598	Beacon Hill
-71.0734	42.3354	Boston City Hospital
-70.9284	42.3301	Boston Harbor Island State Park
-71.0573	42.3587	Boston Massacre Site
-71.1109	42.3526	BU Bridge
-71.0606	42.3762	Breeds Hill
-71.1062	42.3357	Brigham & Women's Hospital
-71.0489	42.3595	Central Wharf
-71.1051	42.3368	Children's Hospital
-71.0467	42.3515	Children's Museum
-71.0495	42.362	Commercial Wharf
-71.0403	42.3518	Commonwealth Pier
-71.1064	42.3384	Dana-Farber Cancer Hospital
-71.0473	42.3548	Fan Pier
-71.0945	42.3015	Franklin Park
-71.087	42.3045	Franklin Park Zoo
-71.0573	42.3584	Freedom Trail Visitor Center
-70.9395	42.3265	Gallops Island
-71.0045	42.3643	Logan Airport
-71.0701	42.3668	Hayden Planetarium
-71.0851	42.3473	Hynes Convention
-71.0859	42.3482	ICA  Contemporary Art
-71.10854	42.33925	Joslin Diabetes Hospital
-71.1003	42.3487	Kenmore Square
-71.0598	42.3584	Kings Chapel Burying Ground
-71.137	42.3118	Larz Anderson Park - Museum of Trans.
-71.1073	42.3001	Lemuel Shattuck Hospital
-71.047	42.3604	Long Wharf
-71.19547	42.39526	McLean Hospital
-71.0692	42.3632	MGH Hospital
-71.0495	42.3532	Museum Wharf
-71.0709	42.3676	Museum of Science
-71.0562	42.3612	N.E. Holocaust Memorial
-71.0537	42.364	Paul Revere House
-71.0553	42.3562	Post Office Square Park
-71.0653	42.3504	Shubert Theater
-71.0648	42.3679	Spaulding Rehab Hospital
-70.987	42.3251	Spectacle Island
-71.0084	42.3154	Thompson Island
-71.0753	42.3501	Trinity Church
-71.0495	42.3657	Union Wharf
-71.0648	42.3495	Wang Center
-71.0645	42.3507	Wilbur Theater
-71.2656	42.0954	Gillette Stadium
-71.0634	42.3509	NEMC Hospital
-71.0417	42.3184	Bayside Exposition Center
-71.087	42.3468	Berklee Performance Center
-71.0614	42.3659	Fleet Center
-71.062	42.3607	Saltonstall Office Building
-71.1145	42.3262	Olmstead Park
-70.8689	42.3654	The Graves
-71.1537	42.0676	Borderland State Park
-70.8898	42.3276	Boston Lighthouse - Little Brewster Isla
-71.0573	42.3618	Haymarket
-70.7792	42.7026	Plum Island State Park
-71.7903	42.2851	Hahnemann Hospital
-71.762	42.2781	U. Mass. Medical Ctr. Hospital
-71.1208	42.34263	Coolidge Corner
-71.1194	42.37328	Harvard Square   Out of Town News
-70.9162	42.3201	Georges Island - Ft. Warren
-70.9287	42.3293	Lovell Island
-70.2972	41.6351	Kennedy Compound
-71.3114	42.4312	DeCordova Museum
-71.0628	42.35089	Regattabar    Jazz
-71.11697	42.37332	Harvard University
-71.09589	42.36108	MIT
-70.50039	41.77423	Cape Cod Canal Visitor Center
-71.09998	42.37363	Ryles       Jazz
-71.11903	42.36248	Scullers   Jazz
-71.05581	42.36002	Bay Tower Room
-71.1194	42.37328	House of Blues
-71.35537	42.44791	Arena Farms
-71.0892	42.34141	Angell Memorial Hospital - Animal
-71.07801	42.37043	Zip Cars
-72.88194	42.62189	"White water rafting, MA - Deerfield"
-69.86657	45.33561	"White water raft ME - Kennebec,Dead & Pe"
-71.19346	42.33766	Heartbreak  Hill
-71.119	42.21658	The Blue Hills
-70.76946	41.84606	Edaville Railroad
-70.62257	41.9437	Plimoth Plantation & Mayflower 2
-70.5436	41.7762	Sagamore Bridge & Cape Cod Tunnel
-70.5895	42.7482	Bourne Bridge & Cape Cod Tunnel
-70.6686	41.9637	Cranberry World Visitor Center    Free
-70.6714	42.6109	Gloucester Fishermen Monument
-70.7662	42.6862	Crane Beach
-70.10371	43.85895	L.L. Bean
-70.87784	42.66206	"Ipswich River, Canoeing"
-71.25928	42.34539	Charles River Canoe & Kayak
-71.36793	42.45846	"Sudbury River, Canoeing"
-69.9398	45.3648	Butch & Sundance's leap
-71.07233	42.34532	Boston Ballet
-71.05581	42.36002	Comedy Connection
-71.09755	42.37368	ImprovBoston  - Comedy
-71.05581	42.36002	BosTix - Faneuil Hall
-71.07735	42.35063	BosTix - Copley Square
-71.09216	42.35757	Smoots (364.4 + 1 ear)
-71.5169	42.23015	Boston Marathon - Start
