Latitude,Longitude,Name
55.9333,-130,Stewart
54.9667,-130,Arrandale
55,-129.95,Kincolith
54.15,-129.95,Port Essington
54.9333,-129.9333,Nass Harbour
54.25,-129.8333,Skeena
55.45,-129.4833,Alice Arm
59.2667,-129.4167,Centreville
53.4333,-129.2667,Hartley Bay
59.1833,-129.2333,McDame
59.1833,-129.2333,McDame Creek
59.1833,-129.2333,McDames Creek
55.2,-129.2167,Canyon City
55.2,-129.2167,Gitwinksihlkw
54.4,-129.1,Ecstew
54.4,-129.1,Exstew
55.25,-129.0833,Aiyansh
53.0333,-128.9,Port Belmont
53.0333,-128.9,Surf Inlet
60.1167,-128.8,Watson Lake
54.8167,-128.7667,Rosswood
60.0667,-128.7,Watson Lake Wye
54,-128.7,Kitamaat
54,-128.7,Kitimat
53.15,-128.6833,Butedale
53.9667,-128.65,Kitimat Mission
66.2667,-128.6333,Fort Good Hope
66.2667,-128.6333,Good Hope
54.5,-128.5833,Terrace
54.3667,-128.55,Lakelse
52.5833,-128.5333,China Hat
52.5833,-128.5333,Klemtoo
52.5833,-128.5333,Klemtu
59.9167,-128.5,Lower Post
54.5333,-128.4833,Copper City
54.5333,-128.4833,Copper River
54.6333,-128.4333,Usk
50.7667,-128.35,Cape Scott
55.0167,-128.3333,Cedarvale
54.85,-128.3333,Dorreen
54.7667,-128.2833,Pacific
61.95,-128.2667,Tungsten
50.6833,-128.2667,San Josef Bay
50.6833,-128.2667,San Joseph Bay
57.65,-128.2,Hyland Post
57.65,-128.2,Hylands Post
55.0667,-128.2,Woodcock
52.1667,-128.1333,Campbell Island
52.1667,-128.1333,New Bella Bella
52.15,-128.1333,Bella Bella
50.6667,-128.0833,San Josef
55.1,-128.0667,Kitwanga
55.1,-128.0667,Nitwanga
50.5167,-128.0333,Winter Harbour
50.65,-128.0167,Holberg
55.9333,-127.8833,Kuldo
51.8667,-127.8667,Namu
50.85,-127.85,Shushartie
55.15,-127.75,Carnaby
52.35,-127.7,Ocean Falls
55.35,-127.6833,Kispiox
55.25,-127.6667,Hazelton
51.55,-127.6167,Provincial Cannery
50.5333,-127.6,Quatsino
55.25,-127.5833,New Hazelton
55.25,-127.5833,New Hazelton Station
50.6,-127.5833,Coal Harbour
55.7,-127.5667,Kisgegas
57.4333,-127.55,Caribou Hide
51.5167,-127.5167,Wadhams
51.0333,-127.5167,Allison Harbour
51.3167,-127.5,Margaret Bay
50.7167,-127.5,Port Hardy
55.2333,-127.4833,Bulkley Canyon
50.4333,-127.4833,Jeune Landing
50.3833,-127.4333,Port Alice
