Latitude	Longitude	Name
48.38126	-89.29849	Best Western Crossroads Motor Inn
48.31578	-89.36049	Best Western Plus Nor'Wester Hotel & Conf. Ctr.
49.061181	-81.024135	Best Western Swan Castle Inn
46.491081	-80.991684	Best Western Downtown Sudbury Centreville
46.26626	-79.43594	Best Western North Bay Hotel & Conf. Ctr.
44.17263	-81.61746	Best Western Plus Governor's Inn
44.57867	-80.93645	Best Western Inn On The Bay
44.140431	-81.130262	Best Western Plus Walkerton East Ridge Hotel
45.342439	-79.230696	Best Western Plus Muskoka Inn
44.731423	-79.871418	Best Western Highland Inn & Conf. Ctr.
42.987647	-82.407429	Best Western Plus Guildwood Inn
44.589785	-79.423646	Best Western Plus Mariposa Inn & Conf. Ctr.
44.60615	-79.376419	Best Western Plus Couchiching Inn
44.38022	-79.70827	Best Western Royal Oak Inn
43.368663	-80.983636	Best Western Plus Parlour Historic Inn & Suites
43.921713	-80.080789	Best Western Plus Orangeville Inn & Suites
45.7989	-77.11598	Best Western Pembroke Inn & Conf. Ctr.
42.95336	-81.22965	Best Western Plus Lamplighter Inn & Conf. Ctr.
43.429109	-80.436477	Best Western Plus Kitchener-Waterloo
44.056082	-79.479971	Best Western Voyageur Place Hotel
42.85069	-81.274807	Best Western Plus Stoneridge Inn & Conf. Ctr.
43.527055	-80.223279	Best Western Plus Royal Brock Hotel & Conf. Ctr.
43.410623	-80.329081	Best Western Plus Cambridge Hotel
45.063506	-77.857613	Best Western Sword Motor Inn
43.649717	-79.879975	Best Western Inn On The Hill
43.7007	-79.737798	Best Western Plus Brampton
43.525648	-79.907631	Best Western Plus Milton
43.756822	-79.528497	Best Western Plus Toronto North York Hotel & Suites
43.84528	-79.38144	Best Western Parkway Hotel Toronto North
43.652118	-79.641608	Best Western Plus Toronto Airport Hotel
43.6531	-79.60093	Best Western Plus Travel Hotel Toronto Airport
43.163951	-80.240839	Best Western Plus Brant Park Inn & Conf. Ctr.
43.708898	-79.39047	Best Western Plus Roehampton Hotel & Suites
43.783355	-79.237231	Best Western Plus Executive Inn
43.66208	-79.37711	Best Western Primrose Hotel Downtown-Toronto
45.482387	-76.651117	Best Western Renfrew Inn & Conf. Ctr.
43.349636	-79.805193	Best Western Plus Burlington Inn & Suites
44.289773	-78.303123	Best Western Plus Otonabee Inn
43.874926	-78.87756	Best Western Plus Durham Hotel & Conf. Ctr.
43.194703	-79.822871	Best Western PREMIERE C Hotel by Carmen's
42.844953	-80.314344	Best Western Little River Inn
43.972401	-78.192444	Best Western Plus Cobourg Inn & Conv. Ctr.
43.177912	-79.249604	Best Western St. Catharines Hotel & Conf. Ctr.
43.253191	-79.084918	Best Western Colonel Butler Inn
45.326959	-75.820815	Best Western Plus Kanata Hotel & Conf. Ctr.
45.38589	-75.73312	Best Western Plus Macies Hotel
45.412784	-75.691117	Best Western Plus Victoria Park Suites
43.088776	-79.101323	Best Western Plus Cairn Croft Hotel
42.98074	-79.25758	Best Western Plus Rose City Suites
43.084682	-79.083264	Best Western Fallsview
44.18893	-77.39592	Best Western Belleville
44.89996	-76.252839	Best Western Plus Perth Parkside Inn & Spa
44.893531	-76.029415	Best Western Colonel By Inn
45.59026	-74.590993	Best Western Plus L'Heritage
44.24665	-76.5229	Best Western Plus Fireside Inn
45.031159	-74.756271	Best Western Plus Parkway Inn & Conf. Ctr.
44.337927	-76.148401	Best Western Country Squire Resort
46.551988	-75.476602	Best Western Plus Mont-Laurier
48.24085	-79.02015	Best Western Plus Albert Centre-Ville
45.78043	-74.01704	Best Western Plus Hotel St. Jerome
45.433294	-75.709906	Best Western Plus Gatineau-Ottawa
45.581672	-73.758662	Best Western Plus Laval-Montreal
45.450182	-73.740348	Best Western Plus Montreal Airport Hotel
45.50208	-73.57685	Best Western Ville-Marie Hotel & Suites
45.49816	-73.57327	Best Western Plus Montreal Downtown-Hotel Europa
